plant_id,category,plant_cn,scientific_name,commons_title,source_page,original_url,author,license,license_url,needs_attribution,source,description,derivative_note,original_width,original_height,file
17,观叶植物,巴西木,Dracaena fragrans,File:Starr 080117-2202 Dracaena fragrans.jpg,https://commons.wikimedia.org/wiki/File:Starr_080117-2202_Dracaena_fragrans.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0c/Starr_080117-2202_Dracaena_fragrans.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest & Kim Starr,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,yes,"Plants of Hawaii, Image 080117-2202 from http://www.hear.org/starr/plants/images/image/?q=080117-2202","Dracaena fragrans ('Compacta' habit). Location: Maui, Home Depot Nursery Kahului",,2112,2816,foliage/17_dracaena-fragrans.jpg
18,观花植物,君子兰,Clivia miniata,"File:Clivia miniata, blomme en vrugte, Manie van der Schijff BT, a.jpg","https://commons.wikimedia.org/wiki/File:Clivia_miniata,_blomme_en_vrugte,_Manie_van_der_Schijff_BT,_a.jpg",https://upload.wikimedia.org/wikipedia/commons/c/c2/Clivia_miniata%2C_blomme_en_vrugte%2C_Manie_van_der_Schijff_BT%2C_a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,JMK,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Own work,"Bush lily with flowers and fruit, in the Manie van der Schijff Botanical Garden, Pretoria",,4000,3000,flowering/18_clivia-miniata.jpg
19,观花植物,蝴蝶兰,Phalaenopsis spp.,File:Pot Orchid (124213019).jpeg,https://commons.wikimedia.org/wiki/File:Pot_Orchid_(124213019).jpeg,https://upload.wikimedia.org/wikipedia/commons/9/9c/Pot_Orchid_%28124213019%29.jpeg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Timm Schoof,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Imported from 500px ( archived version ) by the Archive Team . ( detail page ),"500px provided description: Pot Orchid [#Flower ,#Orchid ,#Plant ,#Pot]",,1540,2048,flowering/19_phalaenopsis-spp.jpg
20,观花植物,仙客来,Cyclamen persicum,File:Pot cyclamen 048.JPG,https://commons.wikimedia.org/wiki/File:Pot_cyclamen_048.JPG,https://upload.wikimedia.org/wikipedia/commons/9/9c/Pot_cyclamen_048.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Penarc,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,yes,self-made own work,"Cyclamen , pot ornamental",,2304,3072,flowering/20_cyclamen-persicum.jpg
21,观叶植物,吊兰,Chlorophytum comosum,"File:Buenos Aires, botánico 1994 04.jpg","https://commons.wikimedia.org/wiki/File:Buenos_Aires,_botánico_1994_04.jpg",https://upload.wikimedia.org/wikipedia/commons/8/8b/Buenos_Aires%2C_bot%C3%A1nico_1994_04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,LBM1948,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,Chlorophytum comosum in front of the greenhouse; Buenos Aires Botanical Garden. Argentina,,690,1036,foliage/21_chlorophytum-comosum.jpg
22,观花植物,非洲堇,Streptocarpus ionanthus,File:2007-04-20Saintpaulia ionantha04.jpg,https://commons.wikimedia.org/wiki/File:2007-04-20Saintpaulia_ionantha04.jpg,https://upload.wikimedia.org/wikipedia/commons/1/19/2007-04-20Saintpaulia_ionantha04.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Wildfeuer,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Madelyn Lewis,"Saintpaulia ionantha Vernacular names [ edit wikidata M3210576 ] English : African violet нохчийн : Africká fialka Deutsch : Usambaraveilchen français : Saintpaulia commun hornjoserbsce : Afriska fijałka magyar : Afrikai ibolya italiano : Violetta africana lietuvių : Sanpaulija, Afrikos žibutė polski : Fiołek afrykański português : Violeta-africana română : Violete africane українська : Сенполія, африканська фіалка",,2475,1844,flowering/22_streptocarpus-ionanthus.jpg
23,观花植物,月季,Rosa chinensis,File:Rosa chinensis en PUCP.jpg,https://commons.wikimedia.org/wiki/File:Rosa_chinensis_en_PUCP.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1e/Rosa_chinensis_en_PUCP.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Noribeets2003,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,no,Wikimedia Commons,Rosa chinensis tomado en el campus universitario de la PUCP cerca al ecosistema 7: Jardín de Palmeras o Palmetum,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,4080,2296,flowering/23_rosa-chinensis.jpg
24,观花植物,栀子花,Gardenia jasminoides,File:Gardenia jasminoides flower.jpg,https://commons.wikimedia.org/wiki/File:Gardenia_jasminoides_flower.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/Gardenia_jasminoides_flower.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Md Arif bd,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,yes,Wikimedia Commons,বাংলা নাম বেলি ফুল। মধ্য প্রাচ্যে এর নাম আরাবিয়ান জেসমিন। এটি দক্ষিণ এশিয়ার দেশগুলোতে বেশি দেখা যায়।,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,2576,1932,flowering/24_gardenia-jasminoides.jpg
25,观花植物,茉莉花,Jasminum sambac,File:Jasminum sambac 2 years old.jpg,https://commons.wikimedia.org/wiki/File:Jasminum_sambac_2_years_old.jpg,https://upload.wikimedia.org/wikipedia/commons/c/ce/Jasminum_sambac_2_years_old.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Wtin,Public domain,,no,Wikimedia Commons,A Jasminum sambac about two years old,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,2912,4368,flowering/25_jasminum-sambac.jpg
26,观花植物,玫瑰,Rosa rugosa,File:Rosa rugosa Tjörn June 2026 01.jpg,https://commons.wikimedia.org/wiki/File:Rosa_rugosa_Tjörn_June_2026_01.jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Rosa_rugosa_Tj%C3%B6rn_June_2026_01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,ArildV,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Rosa rugosa in Kyrkesund, Tjörn (Sweden).",,7543,5657,flowering/26_rosa-rugosa.jpg
27,观花植物,康乃馨,Dianthus caryophyllus,File:Gartennelke 1.jpg,https://commons.wikimedia.org/wiki/File:Gartennelke_1.jpg,https://upload.wikimedia.org/wikipedia/commons/8/80/Gartennelke_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Darkone ( talk · contribs ),CC BY-SA 1.0,https://creativecommons.org/licenses/by-sa/1.0/,yes,Own work,"Beschreibung : Gartennelke ( Dianthus caryophyllus ) Fotograf / Bearbeitung : Darkone , 17./31. August / 18. September 2004",,1208,1565,flowering/27_dianthus-caryophyllus.jpg
28,球根花卉,郁金香,Tulipa spp.,File:Planta 3.jpg,https://commons.wikimedia.org/wiki/File:Planta_3.jpg,https://upload.wikimedia.org/wikipedia/commons/9/97/Planta_3.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Jtcurses,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Own work,,,1536,2560,bulbous/28_tulipa-spp.jpg
29,球根花卉,水仙,Narcissus tazetta,File:Narcissus-tazetta-0006a.jpg,https://commons.wikimedia.org/wiki/File:Narcissus-tazetta-0006a.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Narcissus-tazetta-0006a.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Zachi Evenor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0,yes,Wikimedia Commons,"Narcissus tazetta, Shoam (Shoham) Forest Park, Israel",青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,2538,2518,bulbous/29_narcissus-tazetta.jpg
30,球根花卉,风信子,Hyacinthus orientalis,File:Garden Hyacinth Hyacinthus orientalis 'Purple Voice' Flower 1644px.JPG,https://commons.wikimedia.org/wiki/File:Garden_Hyacinth_Hyacinthus_orientalis_%27Purple_Voice%27_Flower_1644px.JPG,https://upload.wikimedia.org/wikipedia/commons/7/7b/Garden_Hyacinth_Hyacinthus_orientalis_%27Purple_Voice%27_Flower_1644px.JPG?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Photo by and (c)2008 Derek Ramsey (Ram-Man),GFDL 1.2,http://www.gnu.org/licenses/old-licenses/fdl-1.2.html,yes,Wikimedia Commons,Picture of a Garden Hyacinthen (Hyacinthus orientalis en    'Purple Voice').  Photo taken at the Phipps Conservatory & Botanical Gardens where it was identified.,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,1644,1950,bulbous/30_hyacinthus-orientalis.jpg
31,观花植物,百合,Lilium spp.,"File:Lilium at Boreham, Essex, England 1.jpg","https://commons.wikimedia.org/wiki/File:Lilium_at_Boreham,_Essex,_England_1.jpg",https://upload.wikimedia.org/wikipedia/commons/3/39/Lilium_at_Boreham%2C_Essex%2C_England_1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Acabashi,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"A potted orange Lilium in Boreham village, Essex , England. Camera : Canon EOS 6D with Canon EF 24-105mm F4L IS USM lens. Software : RAW file lens-corrected, optimized and converted with DxO OpticsPro 11 Elite , and further optimized with Adobe Photoshop CS2 .",,3500,2333,flowering/31_lilium-spp.jpg
33,观花植物,扶郎花,Gerbera jamesonii,File:Gerbera jamesonii Festival Spider Salmon with Dark Eye kz1.jpg,https://commons.wikimedia.org/wiki/File:Gerbera_jamesonii_Festival_Spider_Salmon_with_Dark_Eye_kz1.jpg,https://upload.wikimedia.org/wikipedia/commons/4/48/Gerbera_jamesonii_Festival_Spider_Salmon_with_Dark_Eye_kz1.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Krzysztof Ziarnek, Kenraiz",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,Gerbera jamesonii 'Festival Spider Salmon with Dark Eye',,2632,4056,flowering/33_gerbera-jamesonii.jpg
34,观花植物,绣球花,Hydrangea macrophylla,File:Hortensie - Hydrangea macrophylla.jpg,https://commons.wikimedia.org/wiki/File:Hortensie_-_Hydrangea_macrophylla.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4a/Hortensie_-_Hydrangea_macrophylla.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Sciencia58,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,Hortensie in einem Topf neben einem Hauseingang,,3328,3232,flowering/34_hydrangea-macrophylla.jpg
35,观花植物,杜鹃花,Rhododendron simsii,File:Rhododendron simsii 'Georg Struppek' kz01.jpg,https://commons.wikimedia.org/wiki/File:Rhododendron_simsii_'Georg_Struppek'_kz01.jpg,https://upload.wikimedia.org/wikipedia/commons/0/00/Rhododendron_simsii_%27Georg_Struppek%27_kz01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,"Krzysztof Ziarnek, Kenraiz",CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,"Rhododendron simsii 'Georg Struppek' in the Botanischer Garten, Berlin-Dahlem",,4300,3072,flowering/35_rhododendron-simsii.jpg
36,观花植物,茶花,Camellia japonica,File:Camellia japonica 'Akashigata' in Nymans Garden.jpg,https://commons.wikimedia.org/wiki/File:Camellia_japonica_'Akashigata'_in_Nymans_Garden.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e7/Camellia_japonica_%27Akashigata%27_in_Nymans_Garden.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Andy Li,CC0,https://creativecommons.org/publicdomain/zero/1.0/,no,Own work,Camellia japonica 'Akashigata' in Nymans Garden,,3024,3024,flowering/36_camellia-japonica.jpg
37,观花植物,蟹爪兰,Schlumbergera truncata,File:Cactus de noël rev.jpg,https://commons.wikimedia.org/wiki/File:Cactus_de_noël_rev.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ef/Cactus_de_no%C3%ABl_rev.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Cactus_de_noël.jpg : Empereur Day derivative work: Peter coxhead ( talk ),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Cactus_de_noël.jpg,Photo d'un cactus de noël en pleine floraison.,,2848,1835,flowering/37_schlumbergera-truncata.jpg
38,观花植物,长寿花,Kalanchoe blossfeldiana,File:Starr 080117-1758 Kalanchoe blossfeldiana.jpg,https://commons.wikimedia.org/wiki/File:Starr_080117-1758_Kalanchoe_blossfeldiana.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d6/Starr_080117-1758_Kalanchoe_blossfeldiana.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest & Kim Starr,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,yes,"Plants of Hawaii, Image 080117-1758 from http://www.hear.org/starr/plants/images/image/?q=080117-1758","Kalanchoe blossfeldiana (flowering habit). Location: Maui, Walmart Kahului",,2112,2816,flowering/38_kalanchoe-blossfeldiana.jpg
39,观花植物,一品红,Euphorbia pulcherrima,File:Red Poinsettia Plant- Shola Gardens - Kotagiri.jpg,https://commons.wikimedia.org/wiki/File:Red_Poinsettia_Plant-_Shola_Gardens_-_Kotagiri.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Red_Poinsettia_Plant-_Shola_Gardens_-_Kotagiri.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Sankar 1995,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,yes,Own work,Red Poinsettia Plant- Shola Gardens - Kotagiri,,8000,6000,flowering/39_euphorbia-pulcherrima.jpg
40,观花植物,红掌,Anthurium andraeanum,File:Starr-100623-7787-Anthurium andraeanum-white flowers potted plants in shade house-Pukalani Plant Company Pulehu-Maui (24746778460).jpg,https://commons.wikimedia.org/wiki/File:Starr-100623-7787-Anthurium_andraeanum-white_flowers_potted_plants_in_shade_house-Pukalani_Plant_Company_Pulehu-Maui_(24746778460).jpg,https://upload.wikimedia.org/wikipedia/commons/e/e9/Starr-100623-7787-Anthurium_andraeanum-white_flowers_potted_plants_in_shade_house-Pukalani_Plant_Company_Pulehu-Maui_%2824746778460%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest and Kim Starr,CC BY 3.0 us,https://creativecommons.org/licenses/by/3.0/us/deed.en,yes,Wikimedia Commons,"Anthurium andraeanum (Flamingo lily)
White flowers potted plants in shade house at Pukalani Plant Company Pulehu, Maui, Hawaii.
June 23, 2010


#100623-7787


Image Use Policy",青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,3648,2736,flowering/40_anthurium-andraeanum.jpg
41,观花植物,花烛,Anthurium spp.,File:Fleurs d'Anthurium.jpg,https://commons.wikimedia.org/wiki/File:Fleurs_d'Anthurium.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f8/Fleurs_d%27Anthurium.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Bachelot Pierre J-P,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0/,yes,Own work,Anthurium en fleur (espèce non identifiée),,2304,3072,flowering/41_anthurium-spp.jpg
43,观花植物,马蹄莲,Zantedeschia aethiopica,File:Starr-110331-4689-Zantedeschia aethiopica-flowering habit-Shibuya Farm Kula-Maui (24786499790).jpg,https://commons.wikimedia.org/wiki/File:Starr-110331-4689-Zantedeschia_aethiopica-flowering_habit-Shibuya_Farm_Kula-Maui_(24786499790).jpg,https://upload.wikimedia.org/wikipedia/commons/2/29/Starr-110331-4689-Zantedeschia_aethiopica-flowering_habit-Shibuya_Farm_Kula-Maui_%2824786499790%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest and Kim Starr,CC BY 3.0 us,https://creativecommons.org/licenses/by/3.0/us/deed.en,yes,Wikimedia Commons,"Zantedeschia aethiopica (Calla lily, arum lily)
Flowering habit at Shibuya Farm Kula, Maui, Hawaii.
March 31, 2011

#110331-4689


Image Use Policy",青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,2736,3648,flowering/43_zantedeschia-aethiopica.jpg
44,观叶植物,彩叶芋,Caladium bicolor,File:Caladium sp. 01.jpg,https://commons.wikimedia.org/wiki/File:Caladium_sp._01.jpg,https://upload.wikimedia.org/wikipedia/commons/1/1e/Caladium_sp._01.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Kor!An (Корзун Андрей),CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,yes,Wikimedia Commons,Caladium species in a greenhouse of the Botanical garden Saint Petersburg.,青花植主图：替换为近景候选，并按主图标准保留清晰主体、弱化干扰背景。,3190,2110,foliage/44_caladium-bicolor.jpg
48,观叶植物,琴叶榕,Ficus lyrata,File:Starr 070906-8755 Ficus lyrata.jpg,https://commons.wikimedia.org/wiki/File:Starr_070906-8755_Ficus_lyrata.jpg,https://upload.wikimedia.org/wikipedia/commons/8/84/Starr_070906-8755_Ficus_lyrata.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,Forest & Kim Starr,CC BY 3.0,https://creativecommons.org/licenses/by/3.0/,yes,"Plants of Hawaii, Image 070906-8755 from http://www.hear.org/starr/plants/images/image/?q=070906-8755","Ficus lyrata (habit). Location: Maui, Kula Ace Hardware and Nursery",,2112,2816,foliage/48_ficus-lyrata.jpg
